quote	 source
Luck is where planning meets opportunity.	 1 Grandpa Kern
You can improve what you measure.	 2 Karen Vander Schaaf
Before preparing to improve the world, first look around your own home 3 times.	 3 Chinese Proverb
If I have seen further than others, it's standing on shoulders of giants	 4 Issac Newton
How you play a game shows part of your character: how you lose shows it all.	 5 Unknown
Try not to become a man of success, but rather try to become a man of value.	 6 Albert Einstein
If at first you don't succeed, find out if the loser gets anything.	 8 VEEB
The only place success comes before work is in the dictionary.	 9 VEEB
If a man knows not which port he sails, no wind is favorable.	 10 Seneca
Remember when you forgive, you heal. And when you let go, you grow.	 11 Anonymous
When the heart speaks, take good notes.	 12 Judith Campbell
Why use a hammer when a feather will do?	 13 Karen Vander Schaaf
A good time to keep your mouth shut is when you're in deep water.	 14 Sidney Goff
The art of being wise is the art of knowing what to overlook.	 16 William James
I have not failed. I've just found 10,000 ways that won't work.	 17 Thomas Edison
My wife isn't married to me forever, she's married to me for good.	 18 Mal Pancoast
Surround yourself with only people who are going to lift you higher.	 19 Oprah Winfrey
How people treat you is their karma, how you react is yours.	 20 The Sufis
Better a friend's bite than an enemy's caress.	 21 Danish proverb
A journey of a thousand miles begins with a single step.	 22 Lao-Tzu
Creative minds have always been known to survive any kind of bad training.	 23 Anna Freud
Our greatest glory is not in never failing but rising every time we fail.	 24 Confucius
Truthfulness: Earn future trust by accurately reporting past events.	 25 Anonymous
Being busy and being productive are not necessarily related.	 26 Brian Koslow
You play the hand you're dealt. I think the game's worthwhile.	 27 Christopher Reeve
There are you have 3 choices. Give up, give in, or give it your all.	 28 Unknown
When I'm fading, I close my eyes and realize my friends are my energy.	 29 Pawser
I'd rather finish last to the best than win first to the mediocre.	 30 Rani Melby